paradigm,bertopic_id,other_id,jaccard
lda,104,31,0.08
nmf,0,12,0.5882352941176471
nmf,1,4,0.5
nmf,2,17,0.17391304347826086
nmf,3,14,0.42105263157894735
nmf,4,3,0.42105263157894735
nmf,5,15,0.42105263157894735
nmf,6,43,0.6875
nmf,7,24,0.35
nmf,8,2,0.2857142857142857
nmf,9,53,0.42105263157894735
nmf,10,22,0.5882352941176471
nmf,11,13,0.35
nmf,12,5,0.6875
nmf,13,51,0.5
nmf,14,71,0.08
nmf,15,63,0.6875
nmf,16,23,0.2857142857142857
nmf,17,26,0.125
nmf,18,0,0.0
nmf,19,29,0.35
nmf,20,44,0.5
nmf,21,18,0.35
nmf,22,62,0.2857142857142857
nmf,23,34,0.22727272727272727
nmf,24,35,0.5
nmf,25,58,0.2857142857142857
nmf,26,41,0.5882352941176471
nmf,27,45,0.5
nmf,28,7,0.42105263157894735
nmf,29,68,0.42105263157894735
nmf,30,19,0.42105263157894735
nmf,31,8,0.0
nmf,32,25,0.42105263157894735
nmf,33,48,0.5
nmf,34,30,0.0
nmf,35,66,0.42105263157894735
nmf,36,31,0.22727272727272727
nmf,37,60,0.0
nmf,38,57,0.42105263157894735
nmf,39,9,0.2857142857142857
nmf,40,16,0.5
nmf,41,54,0.42105263157894735
nmf,42,28,0.22727272727272727
nmf,43,55,0.038461538461538464
nmf,44,61,0.22727272727272727
nmf,45,77,0.35
nmf,46,27,0.22727272727272727
nmf,47,74,0.0
nmf,48,37,0.125
nmf,49,73,0.125
nmf,50,49,0.0
nmf,51,78,0.0
nmf,52,72,0.08
nmf,53,52,0.038461538461538464
nmf,54,75,0.5
nmf,55,76,0.038461538461538464
nmf,56,64,0.0
nmf,57,42,0.125
nmf,58,39,0.5
nmf,59,1,0.2857142857142857
nmf,60,69,0.2857142857142857
nmf,61,46,0.08
nmf,63,40,0.5
nmf,64,65,0.038461538461538464
nmf,70,21,0.08
nmf,74,20,0.35
nmf,77,32,0.42105263157894735
nmf,78,38,0.17391304347826086
nmf,80,11,0.17391304347826086
nmf,82,6,0.17391304347826086
nmf,84,47,0.42105263157894735
nmf,86,36,0.038461538461538464
nmf,87,10,0.22727272727272727
nmf,88,56,0.42105263157894735
nmf,92,59,0.2857142857142857
nmf,93,79,0.35
nmf,99,70,0.42105263157894735
nmf,100,67,0.125
nmf,102,50,0.038461538461538464
nmf,103,33,0.6875
kmeans,0,5,0.42105263157894735
kmeans,1,11,0.17391304347826086
kmeans,2,50,0.17391304347826086
kmeans,3,30,0.35
kmeans,4,17,0.42105263157894735
kmeans,5,1,0.42105263157894735
kmeans,6,23,0.42105263157894735
kmeans,7,68,0.2857142857142857
kmeans,8,51,0.08
kmeans,9,3,0.5882352941176471
kmeans,10,9,0.6875
