source,target,weight
13,101,0.6712710857391357
14,27,0.6531410217285156
14,40,0.6590530872344971
14,42,0.6551330089569092
14,46,0.6678279042243958
14,55,0.658994734287262
14,61,0.7336446046829224
14,75,0.6204360127449036
14,78,0.538236677646637
14,97,0.718048632144928
15,16,0.5650817155838013
15,34,0.5962026119232178
15,42,0.5557757019996643
15,49,0.6005423069000244
15,56,0.5467801690101624
15,59,0.5270239114761353
15,75,0.5436983704566956
15,85,0.6341155767440796
16,41,0.6368116736412048
16,42,0.648383617401123
16,50,0.6282179951667786
16,56,0.6292948722839355
16,66,0.8083779811859131
16,75,0.6301087737083435
16,83,0.6427761912345886
18,27,0.48654258251190186
18,29,0.5465490818023682
18,33,0.609046220779419
18,50,0.5273080468177795
18,65,0.7063159942626953
18,87,0.8997879028320312
18,92,0.5720545649528503
18,93,0.5586904883384705
20,22,0.5345907807350159
20,24,0.3615698218345642
20,51,0.4809224307537079
20,70,0.5343780517578125
20,76,0.46744638681411743
20,98,0.47780463099479675
20,100,0.46814778447151184
21,23,0.4938029646873474
21,26,0.48715054988861084
21,30,0.5400209426879883
21,50,0.5730597376823425
21,55,0.4855968654155731
21,65,0.527811586856842
22,34,0.6420366764068604
22,36,0.397943377494812
22,38,0.47606584429740906
22,49,0.613945484161377
22,51,0.6170933246612549
22,56,0.5957369804382324
22,70,0.5994113683700562
22,85,0.6205756068229675
22,98,0.4648558497428894
22,100,0.5626412630081177
23,28,0.6460152864456177
23,29,0.6263356804847717
23,50,0.6536036729812622
23,55,0.7062431573867798
23,58,0.5358155965805054
23,65,0.7120570540428162
23,84,0.6497981548309326
23,87,0.4934374690055847
23,92,0.6240131855010986
24,47,0.47700750827789307
24,48,0.37362778186798096
24,51,0.5327797532081604
24,69,0.3538075387477875
24,95,0.3806397020816803
24,98,0.3544865548610687
25,26,0.5969019532203674
25,27,0.6500653624534607
25,40,0.6627120971679688
25,42,0.6616353988647461
25,47,0.546127200126648
25,54,0.5638000965118408
25,55,0.6197338700294495
25,60,0.6471550464630127
25,62,0.6141678094863892
25,82,0.5546789765357971
25,97,0.656772255897522
26,27,0.5883057117462158
26,30,0.5932676792144775
26,42,0.6032679677009583
26,50,0.632544994354248
26,101,0.5732079744338989
27,30,0.6442753076553345
27,40,0.6896418929100037
27,42,0.7171993255615234
27,53,0.680048406124115
27,55,0.6789569854736328
27,58,0.5394083857536316
27,60,0.69905686378479
27,61,0.6992514133453369
27,62,0.6472743153572083
27,67,0.5437780618667603
27,68,0.5810995101928711
27,73,0.6796928644180298
27,96,0.5952653884887695
27,97,0.6713281273841858
27,99,0.49361827969551086
27,102,0.43489161133766174
28,30,0.575015127658844
28,63,0.5587483048439026
28,65,0.55902099609375
28,84,0.7394739389419556
28,92,0.5707828402519226
28,94,0.6651910543441772
29,50,0.5486302971839905
29,55,0.5718326568603516
29,65,0.6740008592605591
29,87,0.6130114793777466
29,92,0.5576424598693848
29,93,0.5292832851409912
30,37,0.6108736991882324
30,40,0.614234983921051
30,41,0.6844053268432617
30,50,0.6623003482818604
30,55,0.6584118604660034
30,62,0.635900616645813
30,67,0.5936337113380432
30,78,0.5279781818389893
33,47,0.5396096110343933
33,50,0.5410236716270447
33,65,0.5727406740188599
33,76,0.5562949180603027
33,82,0.5652340650558472
33,87,0.4988003373146057
33,93,0.6149225234985352
34,35,0.5908292531967163
34,36,0.4067225456237793
34,38,0.5432537198066711
34,42,0.6957869529724121
34,44,0.41059112548828125
34,49,0.7240177392959595
34,56,0.8097918033599854
34,59,0.7208260893821716
34,70,0.5923289656639099
34,71,0.6746155023574829
34,72,0.5821818709373474
34,75,0.6820243000984192
34,80,0.6114451289176941
34,81,0.36696577072143555
34,85,0.6984833478927612
34,89,0.5411002039909363
34,91,0.4401209354400635
34,100,0.46869561076164246
34,101,0.6944316625595093
35,42,0.5554133057594299
35,48,0.539362907409668
35,49,0.5700520873069763
35,56,0.5600537061691284
35,57,0.561967670917511
35,69,0.4919812083244324
35,75,0.5754417181015015
36,42,0.32837405800819397
36,49,0.3585750460624695
36,56,0.3588036298751831
36,59,0.34605535864830017
36,80,0.3390035629272461
36,85,0.39552825689315796
37,39,0.8555784225463867
37,41,0.751876175403595
37,42,0.7009303569793701
37,43,0.6191529035568237
37,45,0.6397922039031982
37,48,0.6042947173118591
37,50,0.6744053959846497
37,56,0.6449558138847351
37,61,0.7081472277641296
37,62,0.6425948739051819
37,63,0.6835379004478455
37,66,0.5891771912574768
37,72,0.556534469127655
37,73,0.8041124939918518
37,74,0.6328579187393188
37,75,0.7939176559448242
37,83,0.6767059564590454
37,95,0.6437411308288574
37,101,0.7927201986312866
37,102,0.43670719861984253
37,104,0.6778764724731445
38,42,0.4874230921268463
38,48,0.4766378402709961
38,56,0.47109973430633545
38,57,0.4662266671657562
38,91,0.3500080108642578
38,101,0.4694313704967499
39,41,0.723916232585907
39,42,0.6669763326644897
39,63,0.6094571948051453
39,71,0.4814116358757019
39,73,0.7890896797180176
39,74,0.6754601001739502
39,75,0.7516249418258667
39,101,0.7838748693466187
40,42,0.7134835124015808
40,52,0.5842223167419434
40,55,0.8658490777015686
40,61,0.6395676136016846
40,67,0.5552383065223694
40,90,0.49213606119155884
40,92,0.622642457485199
40,93,0.5782245397567749
40,94,0.6047407984733582
40,96,0.6632408499717712
41,42,0.6761729717254639
41,45,0.6285754442214966
41,46,0.6697908639907837
41,52,0.597984254360199
41,61,0.692695677280426
41,63,0.6420654654502869
41,66,0.6158597469329834
41,72,0.5704529285430908
41,73,0.7155100107192993
41,75,0.7200084924697876
41,84,0.6083288192749023
41,89,0.5961300134658813
41,101,0.7480974793434143
41,102,0.5354231595993042
42,43,0.5937010645866394
42,44,0.41729089617729187
42,46,0.6987636089324951
42,48,0.6669340133666992
42,49,0.6424940824508667
42,50,0.6685574650764465
42,52,0.6048330068588257
42,54,0.5613324642181396
42,55,0.6819390058517456
42,56,0.7275421023368835
42,57,0.6223448514938354
42,61,0.7392439842224121
42,62,0.6599507927894592
42,66,0.6143945455551147
42,68,0.5962927937507629
42,73,0.7230620384216309
42,75,0.7248150110244751
42,78,0.531583309173584
42,83,0.6624233722686768
42,85,0.6490073204040527
42,89,0.6068283915519714
42,91,0.4323418140411377
42,96,0.6847522258758545
42,97,0.6945403814315796
42,99,0.5048375129699707
42,101,0.7274392247200012
42,103,0.6046383380889893
42,104,0.7134491205215454
43,47,0.54296875
43,73,0.6446864604949951
43,75,0.6391764879226685
43,76,0.5939441919326782
43,82,0.5426821112632751
43,83,0.6445445418357849
44,56,0.43235379457473755
44,73,0.3804287910461426
44,85,0.37508445978164673
44,104,0.4683475196361542
45,57,0.5873597860336304
45,61,0.5857663750648499
45,73,0.630094051361084
45,75,0.6423452496528625
45,101,0.632266104221344
46,52,0.6157954335212708
46,55,0.6658514142036438
46,61,0.7179238200187683
46,73,0.6669383645057678
46,74,0.6289805173873901
46,75,0.6596658229827881
46,78,0.5347585678100586
46,96,0.5966837406158447
46,97,0.7198443412780762
47,70,0.5670166611671448
47,73,0.5339583158493042
47,76,0.6449941396713257
47,82,0.5837703943252563
48,51,0.5195419192314148
48,57,0.6313712000846863
48,69,0.7406275272369385
48,73,0.6154398918151855
48,75,0.6290797591209412
48,101,0.643251895904541
49,56,0.640478253364563
49,59,0.6566178798675537
49,61,0.6263431906700134
49,68,0.6242949366569519
49,70,0.6467050313949585
49,71,0.5489275455474854
49,81,0.4402630031108856
49,85,0.7068915367126465
50,52,0.5801675319671631
50,55,0.6855602264404297
50,65,0.6955006718635559
50,66,0.5997030735015869
50,67,0.5967416167259216
50,72,0.5565011501312256
50,82,0.5311897993087769
50,84,0.593860924243927
50,87,0.4954184293746948
50,92,0.6334291100502014
50,93,0.570056140422821
50,96,0.627197802066803
50,99,0.5104280710220337
50,101,0.6690956354141235
51,57,0.5530251264572144
51,64,0.2951119542121887
51,70,0.5508752465248108
51,73,0.5322017073631287
51,95,0.556871771812439
51,98,0.4980385899543762
51,100,0.48251980543136597
52,55,0.6026241779327393
52,61,0.6136393547058105
52,96,0.5868876576423645
53,54,0.5526353120803833
53,58,0.5838215947151184
53,60,0.770404577255249
53,61,0.725699245929718
53,63,0.6434927582740784
53,73,0.691491961479187
53,75,0.681997537612915
53,83,0.7306759357452393
53,102,0.5332412719726562
53,103,0.7148854732513428
53,104,0.6972923278808594
54,61,0.5542144179344177
54,82,0.5821542739868164
54,83,0.5511540174484253
55,58,0.5472195148468018
55,65,0.7002145648002625
55,67,0.5949316620826721
55,74,0.6211789846420288
55,78,0.5475612282752991
55,92,0.703129231929779
55,93,0.5855951905250549
55,94,0.6451142430305481
55,96,0.6835690140724182
55,99,0.5123507976531982
56,59,0.5767412185668945
56,66,0.5920836925506592
56,71,0.49273037910461426
56,72,0.5537521839141846
56,73,0.6710728406906128
56,75,0.6909793615341187
56,80,0.5912427306175232
56,85,0.7018972039222717
56,89,0.6384104490280151
56,91,0.38047125935554504
56,101,0.6741943359375
56,104,0.6954634785652161
57,64,0.3475385308265686
57,69,0.5798830986022949
57,73,0.6655161380767822
57,75,0.6927728652954102
57,76,0.5702465772628784
57,95,0.6385809183120728
57,98,0.4719989001750946
57,100,0.4586939811706543
57,101,0.6357340216636658
58,60,0.7246037721633911
58,90,0.5023902654647827
58,92,0.5551160573959351
58,94,0.5552054643630981
59,71,0.7979264855384827
59,80,0.7123351097106934
59,85,0.5698983073234558
60,61,0.6975840330123901
60,68,0.5975693464279175
60,74,0.6387032866477966
60,83,0.7127591371536255
60,90,0.46712982654571533
60,92,0.6419717073440552
60,94,0.5825942754745483
60,104,0.6619919538497925
61,62,0.6751485466957092
61,68,0.5733422636985779
61,73,0.709371030330658
61,75,0.7319037914276123
61,83,0.7171034216880798
61,85,0.6140264272689819
61,97,0.7040748596191406
61,103,0.6163755059242249
61,104,0.6729522943496704
62,78,0.5561195611953735
62,97,0.6643053293228149
63,73,0.6165685057640076
63,75,0.6269993782043457
63,84,0.6447485685348511
63,102,0.5256280899047852
64,69,0.3423190414905548
64,95,0.31882911920547485
64,100,0.30753669142723083
65,67,0.5756823420524597
