UT,Publication Year,Document Type,lda_topic,lda_probability
WOS:000808393800001,2022,Article,4,0.8976248713139213
WOS:000677643500017,2021,Article,1,0.42878486132712107
WOS:000753141700010,2022,Article,21,0.34913647034778544
WOS:001103705800001,2023,Article,12,0.5567968422117126
WOS:000746942700001,2022,Article,1,0.46588194882435785
WOS:001401425800001,2025,Article,12,0.3215225728793321
WOS:000627789200001,2021,Article,21,0.41814987601325115
WOS:001518628000001,2025,Article,24,0.696214498066959
WOS:000565881500010,2020,Article,28,0.3210435513266055
WOS:001165307400001,2024,Article,16,0.47998432073798036
WOS:001346254700001,2025,Article,18,0.39127785011614
WOS:001138204400012,2024,Article,28,0.42025260207616966
WOS:000792771800008,2022,Article,21,0.46966934983912983
WOS:001069461600001,2023,Article,4,0.30497201070465274
WOS:000515201200001,2020,Article,4,0.5039555186199762
WOS:000919786200001,2023,Article,4,0.42278612532009124
WOS:001331781300001,2024,Article,10,0.35271784178745025
WOS:000892989900001,2022,Article,4,0.37427826094513733
WOS:001354666700001,2025,Article,21,0.5522816319139167
WOS:000849980400001,2022,Article,26,0.28505812040632994
WOS:000653094300001,2021,Article,19,0.6664906974858972
WOS:000607392900001,2021,Article,16,0.39181094608595823
WOS:000791391300001,2022,Article,30,0.3415369950194275
WOS:000534195200017,2020,Article,4,0.47432078303105724
WOS:000831312100009,2022,Article,15,0.3153039174476578
WOS:000920198100005,2022,Article,12,0.5303118673149292
WOS:000635481200001,2022,Article,8,0.3937645539207128
WOS:001519214200001,2025,Article,5,0.4421383534721367
WOS:000787637000001,2023,Article,8,0.5452958650408599
WOS:001381777500004,2024,Article,24,0.31598744340186075
WOS:001203181600001,2025,Article,24,0.584035460102386
WOS:000566881800004,2020,Article,30,0.44734241833159655
WOS:000691747600012,2021,Article,29,0.20158181014731044
WOS:000726355400001,2021,Article,5,0.3904888686024014
WOS:000921152300001,2023,Article,16,0.6042663115721479
WOS:001375337300001,2024,Article,12,0.18446302436483072
WOS:000582383700005,2020,Article,13,0.5602966061360829
WOS:000515201200012,2020,Article,5,0.5125581589718854
WOS:000510064500001,2020,Article,28,0.3887346513573694
WOS:001309137600001,2024,Article,19,0.43321024787100315
WOS:000539464900001,2020,Article,11,0.48413108149988404
WOS:000672839400003,2021,Article,12,0.7441278582984965
WOS:001076922500001,2023,Article,30,0.3034911999438636
WOS:000675484200022,2021,Article,5,0.8800399043875258
WOS:001530671300001,2025,Article,28,0.3566312736592262
WOS:000823063900001,2023,Article,13,0.41330869644516843
WOS:001205270300004,2023,Article,25,0.2954510297948118
WOS:001360031200001,2025,Article,28,0.3301906565560591
WOS:001479241900001,2025,Article,30,0.37518367592356533
