topic,phrase,count
9,sexuality education,18
10,the relationship,6
10,network structure,6
10,partial correlation,6
10,network stability,5
10,functional movement,5
10,cluster sampling,4
10,the network structure,4
10,the development,4
10,expected influence,4
10,regularized partial correlation,4
10,bridge centrality,4
10,barratt impulsiveness,3
10,and impulsivity,3
10,the influence,3
10,suicidal ideation,3
11,the relationship,87
11,the effectiveness,63
11,and depression,61
11,the development,60
11,ptsd severity,47
11,eye movement,46
11,and reprocessing,46
11,desensitization and reprocessing,40
11,movement desensitization,39
11,eye movement desensitization,39
11,logistic regression,35
11,borderline personality,34
11,ptsd checklist,32
11,the presence,30
11,emotion regulation,29
12,and reliability,42
12,convergent validity,39
12,the relationship,39
12,the structure,38
12,and validity,37
12,the reliability,34
12,and validation,31
12,the validity,29
12,reliability and validity,29
12,validity and reliability,26
12,construct validity,26
12,concurrent validity,21
12,development and validation,19
12,the development,18
12,and depression,14
13,logistic regression,51
13,and setting,32
13,the relationship,30
13,the presence,30
13,the development,28
13,and mortality,25
13,blood pressure,23
13,and obesity,19
13,the majority,17
13,morbidity and mortality,17
13,the evaluation,16
13,and during,14
13,injury severity,14
13,the following,14
13,and management,13
14,law enforcement,69
14,the relationship,67
14,the development,65
14,and violence,64
14,the majority,53
14,domestic violence,51
14,the importance,48
14,and setting,45
14,logistic regression,43
14,the nature,41
14,workplace violence,38
14,the protection,37
14,and exploitation,37
14,and protection,37
14,royal commission,34
15,sleep quality,38
15,the relationship,25
15,pittsburgh sleep quality,16
15,sleep duration,15
15,and sleep quality,14
15,sleep disturbance,13
15,the pittsburgh sleep quality,10
15,linear regression,8
15,poor sleep quality,8
15,and sleep disturbance,6
15,cellular aging,6
15,chain reaction,6
15,polymerase chain reaction,6
15,insomnia severity,5
15,and sleep duration,5
16,the relationship,89
16,logistic regression,64
16,the mediating,37
16,and bullying,37
16,and setting,37
16,peer victimization,35
16,and depression,33
16,and victimization,33
16,bullying victimization,26
16,the development,26
16,and coping,21
16,structural equation,21
16,and externalizing,21
16,linear regression,20
16,and cyberbullying,20
17,suicidal ideation,49
17,the relationship,34
17,and suicidal ideation,28
17,the mediating,22
17,logistic regression,17
17,with suicidal ideation,15
17,for suicidal ideation,12
17,the suicidal ideation,12
17,and depression,9
17,structural equation,9
17,suicide ideation,8
17,equation modeling,8
17,structural equation modeling,8
17,and aggression,8
17,this relationship,8
18,the relationship,38
18,logistic regression,32
18,the mediating,20
18,and depression,17
18,suicidal ideation,14
18,postpartum depression,11
18,postnatal depression,9
18,edinburgh postnatal depression,9
18,structural equation,9
18,and postpartum depression,7
18,the edinburgh postnatal depression,7
18,with depression,7
18,the mediation,6
18,emotion regulation,6
18,the correlation,6
19,the relationship,92
19,the development,28
19,logistic regression,28
19,the presence,25
19,the experience,21
19,linear regression,15
19,the influence,15
19,and exposure,14
19,the severity,13
19,premorbid adjustment,13
19,and dissociation,13
19,and depression,13
19,the mediating,12
19,after controlling,12
19,global functioning,12
20,the relationship,29
20,deficit hyperactivity,19
20,attention deficit hyperactivity,19
20,logistic regression,18
20,internet addiction,13
20,and internet addiction,12
20,binge eating,11
20,the presence,8
20,with binge eating,6
20,the mediating,6
20,and depression,6
20,with autism,6
20,examine the relationship,5
20,and eating,5
20,beck depression,5
21,dna methylation,146
21,the relationship,57
21,gene expression,54
21,the development,54
21,the interaction,41
21,and methylation,34
21,and dna methylation,32
21,and depression,30
21,linear regression,29
21,cortisol reactivity,29
21,cortisol awakening,26
21,the influence,25
21,with depression,25
21,mechanisms underlying,24
21,the methylation,23
22,the relationship,19
22,the importance,10
22,the question,7
22,the culture,7
22,the institution,7
22,and violence,7
22,the development,5
22,interpersonal violence,5
22,and harassment,5
22,the experience,5
22,the possibility,5
22,the silence,5
22,the violence,5
22,about sexuality,5
22,the beginning,5
23,the relationship,7
23,logistic regression,3
23,system involvement,3
