term,count_early,count_late,count_contemporary,rate_early,rate_late,burst_score,log_odds_late_vs_early
acute postsurgical pain,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
skin picking,2,1,1,0.8333333333333334,0.5,-0.5108256237659907,-1.1279270068770977
details,1,0,1,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
dorsomedial part,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
psychoform dissociation,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
schema transmission,1,0,1,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
childhood sexual abuse prevention,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
child psychological abuse,0,2,2,0.16666666666666666,0.8333333333333334,1.6094379124341005,0.9923365293229924
sexual dysfunctions,0,2,2,0.16666666666666666,0.8333333333333334,1.6094379124341005,0.9923365293229924
regional variation,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
children's perspectives,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
expression suppression,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
children's health,0,0,2,0.16666666666666666,0.16666666666666666,0.0,-0.6171013831111072
of-interest,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
problematic media use,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
paediatric radiology,1,2,2,0.5,0.8333333333333334,0.5108256237659907,-0.10627575934511668
foster-care,21,42,56,7.166666666666667,14.166666666666666,0.681451140796754,0.06434975768564666
servicewomen,1,0,1,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
resolution of inflammation,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
rural older adults,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
immune gene expression,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
privation,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
video-based tsst-c,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
zebrafish behavioral model,0,0,1,0.16666666666666666,0.16666666666666666,0.0,-0.6171013831111072
couple leisure,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
random-intercept cross lagged panel design,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
manifestation,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
psychological symptomatology,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
brain activation,4,3,6,1.5,1.1666666666666667,-0.25131442828090605,-0.8684158113920137
rugby union,0,1,2,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
remote psychological assessment,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
causal effect,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
only-child status,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
barratt impulsiveness scale,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
korean baby-boomer,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
participation share,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
glutamatergic neurotransmission,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
genitourinary diseases female,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
immune development,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
comment section,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
government,0,2,2,0.16666666666666666,0.8333333333333334,1.6094379124341005,0.9923365293229924
comorbidity,88,164,216,29.5,54.833333333333336,0.6199080181915428,0.0028066350804349938
equine-facilitated psychotherapy,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
hiv prevalence,1,0,1,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
natural mentoring,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
sub-sahara africa,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
early social-isolation,1,1,1,0.5,0.5,0.0,-0.6171013831111072
body map,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
prioritization,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
population decline and density,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
sexual risk taking behaviors,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
lipidomics,0,2,4,0.16666666666666666,0.8333333333333334,1.6094379124341005,0.9923365293229924
predictive,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
family histories,0,0,1,0.16666666666666666,0.16666666666666666,0.0,-0.6171013831111072
evaluation outcome,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
calliphoridae,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
ischemic-heart-disease,1,0,1,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
neuronal responses,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
induced predisposition,1,0,1,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
judicial interventions,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
undergraduate medical students,0,0,1,0.16666666666666666,0.16666666666666666,0.0,-0.6171013831111072
correctional health care,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
pregnancy loss,2,0,0,0.8333333333333334,0.16666666666666666,-1.6094379124341005,-2.226539295545207
amazons mechanical turk,1,1,1,0.5,0.5,0.0,-0.6171013831111072
maternal early life experiences,0,0,1,0.16666666666666666,0.16666666666666666,0.0,-0.6171013831111072
positive youth development theory,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
gender-based oppression,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
delta-9-tetrahydrocannabinol(delta-9-thc),0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
childhood stressful life events,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
genome-wide,2,2,2,0.8333333333333334,0.8333333333333334,0.0,-0.6171013831111072
relationship variables,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
salivary oxytocin,1,1,1,0.5,0.5,0.0,-0.6171013831111072
implicit memory,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
systemic stress,0,0,1,0.16666666666666666,0.16666666666666666,0.0,-0.6171013831111072
sa = sexual abuse,1,0,2,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
adhd medications,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
non-accidental trauma (nat),0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
patient admission,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
family confinement,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
