topic,display_name,term,log_odds_P4_vs_P1,count_P1,count_P4
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",preschool-aged,-3.6964651649764084,10,0
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",pediatrician,-3.6964651649764084,10,0
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",botswana,-3.871332096875058,12,0
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",tl,-4.2090893503783136,17,0
4,Intimate partner violence,ace,3.116892924399356,0,22
4,Intimate partner violence,healthcare,2.920744449655815,0,18
4,Intimate partner violence,father,2.920744449655815,0,18
4,Intimate partner violence,dysregulation,2.8650736495810714,0,17
4,Intimate partner violence,non-physical,2.8061322108278617,0,16
4,Intimate partner violence,china,2.6767186324480434,0,14
4,Intimate partner violence,paternal,2.5280968211639063,0,12
4,Intimate partner violence,ncd,2.5280968211639063,0,12
4,Intimate partner violence,prevent,2.4446143244120178,0,11
4,Intimate partner violence,weapon,2.4446143244120178,0,11
4,Intimate partner violence,cocaine,2.3535416685707773,0,10
4,Intimate partner violence,legal,2.3535416685707773,0,10
4,Intimate partner violence,vaw,2.3535416685707773,0,10
4,Intimate partner violence,masculine,2.3535416685707773,0,10
4,Intimate partner violence,bias,2.3535416685707773,0,10
4,Intimate partner violence,sure,-3.2581469247395534,6,0
4,Intimate partner violence,clinically,-3.2581469247395534,6,0
4,Intimate partner violence,centrality,-3.4014493406445663,7,0
4,Intimate partner violence,physician,-3.4014493406445663,7,0
4,Intimate partner violence,dominance,-3.4014493406445663,7,0
4,Intimate partner violence,fm,-3.5268140965024806,8,0
4,Intimate partner violence,dyad,-3.5268140965024806,8,0
4,Intimate partner violence,filipina,-3.5268140965024806,8,0
4,Intimate partner violence,girl,-3.5268140965024806,8,0
4,Intimate partner violence,animal,-3.6382413851725737,9,0
4,Intimate partner violence,coordination,-3.6382413851725737,9,0
4,Intimate partner violence,welfare,-3.7385265379617847,10,0
4,Intimate partner violence,ce-ipv,-3.7385265379617847,10,0
4,Intimate partner violence,communication,-3.829700051088511,11,0
4,Intimate partner violence,vac,-4.129000386544753,15,0
5,"Injury, Fracture, Infant, Head",radiation,3.2887261420286453,0,17
5,"Injury, Fracture, Infant, Head",dose,3.2887261420286453,0,17
5,"Injury, Fracture, Infant, Head",flag,3.1670416342407455,0,15
5,"Injury, Fracture, Infant, Head",paediatric,3.1001884736229695,0,14
5,"Injury, Fracture, Infant, Head",red,3.028567749692235,0,13
5,"Injury, Fracture, Infant, Head",ton,3.028567749692235,0,13
5,"Injury, Fracture, Infant, Head",hospitalisation,3.028567749692235,0,13
5,"Injury, Fracture, Infant, Head",uldct,2.951444974769566,0,12
5,"Injury, Fracture, Infant, Head",lr,2.951444974769566,0,12
5,"Injury, Fracture, Infant, Head",capnet,2.951444974769566,0,12
5,"Injury, Fracture, Infant, Head",ce,2.867901658197562,0,11
5,"Injury, Fracture, Infant, Head",tract,2.867901658197562,0,11
5,"Injury, Fracture, Infant, Head",emr,2.867901658197562,0,11
5,"Injury, Fracture, Infant, Head",petechia,2.867901658197562,0,11
5,"Injury, Fracture, Infant, Head",aor,2.776768198504014,0,10
5,"Injury, Fracture, Infant, Head",mimic,-3.104274830890084,8,0
5,"Injury, Fracture, Infant, Head",dancer,-3.104274830890084,8,0
5,"Injury, Fracture, Infant, Head",le,-3.104274830890084,8,0
5,"Injury, Fracture, Infant, Head",scd,-3.2157121510137996,9,0
5,"Injury, Fracture, Infant, Head",secondary,-3.2157121510137996,9,0
5,"Injury, Fracture, Infant, Head",anemia,-3.2157121510137996,9,0
5,"Injury, Fracture, Infant, Head",rss,-3.3160073394043064,10,0
5,"Injury, Fracture, Infant, Head",fatigue,-3.407190892282574,11,0
5,"Injury, Fracture, Infant, Head",rh,-3.407190892282574,11,0
5,"Injury, Fracture, Infant, Head",hematuria,-3.4907843207521774,12,0
5,"Injury, Fracture, Infant, Head",femur,-3.6396280995816346,14,0
5,"Injury, Fracture, Infant, Head",humerus,-3.706531428298989,15,0
5,"Injury, Fracture, Infant, Head",spinal,-3.7692637844331207,16,0
5,"Injury, Fracture, Infant, Head",shaft,-3.93695413634999,19,0
5,"Injury, Fracture, Infant, Head",bucket,-4.035017009103299,21,0
6,"Attachment, Attachment Style, Style, Insecure",ace,2.9811174096668145,0,27
6,"Attachment, Attachment Style, Style, Insecure",mistrust,2.68649507061298,0,20
6,"Attachment, Attachment Style, Style, Insecure",surgery,2.6363616790593145,0,19
6,"Attachment, Attachment Style, Style, Insecure",cosmetic,2.5279021978173635,0,17
6,"Attachment, Attachment Style, Style, Insecure",defense,2.2678993904499514,0,13
6,"Attachment, Attachment Style, Style, Insecure",often,2.1908154840968113,0,12
6,"Attachment, Attachment Style, Style, Insecure",self-concept,2.107311025034755,0,11
6,"Attachment, Attachment Style, Style, Insecure",fad,2.107311025034755,0,11
6,"Attachment, Attachment Style, Style, Insecure",bdsm,2.107311025034755,0,11
6,"Attachment, Attachment Style, Style, Insecure",antenatal,2.107311025034755,0,11
6,"Attachment, Attachment Style, Style, Insecure",beta,2.107311025034755,0,11
6,"Attachment, Attachment Style, Style, Insecure",oxt,2.107311025034755,0,11
6,"Attachment, Attachment Style, Style, Insecure",father-child,2.0162164117963224,0,10
6,"Attachment, Attachment Style, Style, Insecure",functioning,2.0162164117963224,0,10
6,"Attachment, Attachment Style, Style, Insecure",credulity,2.0162164117963224,0,10
6,"Attachment, Attachment Style, Style, Insecure",evade,-3.4291476240366743,5,0
6,"Attachment, Attachment Style, Style, Insecure",same-sex,-3.4291476240366743,5,0
6,"Attachment, Attachment Style, Style, Insecure",voice,-3.4291476240366743,5,0
6,"Attachment, Attachment Style, Style, Insecure",etiology,-3.4291476240366743,5,0
6,"Attachment, Attachment Style, Style, Insecure",lesbian,-3.4291476240366743,5,0
6,"Attachment, Attachment Style, Style, Insecure",avhs,-3.5965458243260855,6,0
6,"Attachment, Attachment Style, Style, Insecure",impulsivity,-3.739990902049332,7,0
6,"Attachment, Attachment Style, Style, Insecure",ca,-3.739990902049332,7,0
6,"Attachment, Attachment Style, Style, Insecure",outness,-3.739990902049332,7,0
6,"Attachment, Attachment Style, Style, Insecure",infancy,-3.739990902049332,7,0
6,"Attachment, Attachment Style, Style, Insecure",connect,-3.8654983976238206,8,0
6,"Attachment, Attachment Style, Style, Insecure",migraine,-3.8654983976238206,8,0
6,"Attachment, Attachment Style, Style, Insecure",passion,-4.07749655247247,10,0
6,"Attachment, Attachment Style, Style, Insecure",pv,-4.252539475931415,12,0
6,"Attachment, Attachment Style, Style, Insecure",csa,-4.329845463604251,13,0
7,COVID-19 pandemic impact,student,3.231458973072172,0,24
7,COVID-19 pandemic impact,substance,3.1001011461662884,0,21
7,COVID-19 pandemic impact,young,2.9490818423464757,0,18
7,COVID-19 pandemic impact,cm,2.893266411622651,0,17
7,COVID-19 pandemic impact,post-covid,2.771414576334309,0,15
7,COVID-19 pandemic impact,trend,2.632773500510801,0,13
7,COVID-19 pandemic impact,workplace,2.632773500510801,0,13
7,COVID-19 pandemic impact,difference,2.632773500510801,0,13
7,COVID-19 pandemic impact,pre-pandemic,2.632773500510801,0,13
7,COVID-19 pandemic impact,suicidality,2.471940353797952,0,11
7,COVID-19 pandemic impact,closure,2.380723417464006,0,10
7,COVID-19 pandemic impact,maternity,2.380723417464006,0,10
7,COVID-19 pandemic impact,prior,2.380723417464006,0,10
7,COVID-19 pandemic impact,mentor,2.380723417464006,0,10
7,COVID-19 pandemic impact,hope,2.280394860866581,0,9
7,COVID-19 pandemic impact,reframing,-3.0665257976082723,5,0
7,COVID-19 pandemic impact,suffer,-3.0665257976082723,5,0
7,COVID-19 pandemic impact,equipment,-3.0665257976082723,5,0
7,COVID-19 pandemic impact,sep,-3.0665257976082723,5,0
7,COVID-19 pandemic impact,death,-3.0665257976082723,5,0
7,COVID-19 pandemic impact,tweet,-3.0665257976082723,5,0
7,COVID-19 pandemic impact,depersonalization,-3.2340572092494755,6,0
7,COVID-19 pandemic impact,chr,-3.2340572092494755,6,0
7,COVID-19 pandemic impact,cptsd,-3.2340572092494755,6,0
7,COVID-19 pandemic impact,mitigation,-3.2340572092494755,6,0
7,COVID-19 pandemic impact,botswana,-3.37763560781804,7,0
7,COVID-19 pandemic impact,telepsychotherapy,-3.37763560781804,7,0
7,COVID-19 pandemic impact,quarantine,-3.37763560781804,7,0
7,COVID-19 pandemic impact,acute,-3.5032765338676137,8,0
7,COVID-19 pandemic impact,ethical,-3.5032765338676137,8,0
8,"Worker, Protection, Social Work, Social Worker",labour,3.3468580345049324,0,23
8,"Worker, Protection, Social Work, Social Worker",hour,3.1069838494126643,0,18
8,"Worker, Protection, Social Work, Social Worker",healthcare,3.051285148882595,0,17
8,"Worker, Protection, Social Work, Social Worker",fme,2.791258721853943,0,13
8,"Worker, Protection, Social Work, Social Worker",mr,2.7141689142999184,0,12
8,"Worker, Protection, Social Work, Social Worker",barnahus,2.6306585555216264,0,11
8,"Worker, Protection, Social Work, Social Worker",utilization,2.6306585555216264,0,11
8,"Worker, Protection, Social Work, Social Worker",africa,2.6306585555216264,0,11
8,"Worker, Protection, Social Work, Social Worker",sts,2.6306585555216264,0,11
8,"Worker, Protection, Social Work, Social Worker",nigeria,2.539558044051047,0,10
8,"Worker, Protection, Social Work, Social Worker",radiographer,2.539558044051047,0,10
8,"Worker, Protection, Social Work, Social Worker",certificate,2.539558044051047,0,10
8,"Worker, Protection, Social Work, Social Worker",opposition,2.539558044051047,0,10
8,"Worker, Protection, Social Work, Social Worker",casats,2.539558044051047,0,10
8,"Worker, Protection, Social Work, Social Worker",galway,2.539558044051047,0,10
8,"Worker, Protection, Social Work, Social Worker",geography,-3.0724807196704704,6,0
8,"Worker, Protection, Social Work, Social Worker",telemedicine,-3.0724807196704704,6,0
8,"Worker, Protection, Social Work, Social Worker",rcsa,-3.0724807196704704,6,0
8,"Worker, Protection, Social Work, Social Worker",substantial,-3.0724807196704704,6,0
8,"Worker, Protection, Social Work, Social Worker",confirm,-3.0724807196704704,6,0
8,"Worker, Protection, Social Work, Social Worker",seem,-3.215795147250443,7,0
8,"Worker, Protection, Social Work, Social Worker",poor,-3.215795147250443,7,0
8,"Worker, Protection, Social Work, Social Worker",custody,-3.215795147250443,7,0
8,"Worker, Protection, Social Work, Social Worker",suspicion,-3.3411719197715932,8,0
8,"Worker, Protection, Social Work, Social Worker",identification,-3.3411719197715932,8,0
8,"Worker, Protection, Social Work, Social Worker",psb,-3.4526112300963057,9,0
8,"Worker, Protection, Social Work, Social Worker",paediatrician,-3.4526112300963057,9,0
8,"Worker, Protection, Social Work, Social Worker",household,-3.5529084095346324,10,0
8,"Worker, Protection, Social Work, Social Worker",recurrence,-3.5529084095346324,10,0
8,"Worker, Protection, Social Work, Social Worker",cp,-3.644093954308082,11,0
9,"Offender, Offend, Juvenile, Criminal",cognition,3.3105135447722116,0,19
9,"Offender, Offend, Juvenile, Criminal",belief,3.080293368986297,0,15
9,"Offender, Offend, Juvenile, Criminal",discrimination,3.0134406260832076,0,14
9,"Offender, Offend, Juvenile, Criminal",fantasy,3.0134406260832076,0,14
9,"Offender, Offend, Juvenile, Criminal",non-violent,2.6900220204741183,0,10
9,"Offender, Offend, Juvenile, Criminal",district,2.6900220204741183,0,10
9,"Offender, Offend, Juvenile, Criminal",traffic,2.5897773236065644,0,9
9,"Offender, Offend, Juvenile, Criminal",exclusive,2.5897773236065644,0,9
9,"Offender, Offend, Juvenile, Criminal",limited,2.47839047617937,0,8
9,"Offender, Offend, Juvenile, Criminal",immigrant,2.47839047617937,0,8
9,"Offender, Offend, Juvenile, Criminal",safeguard,2.47839047617937,0,8
9,"Offender, Offend, Juvenile, Criminal",paedophile,2.47839047617937,0,8
9,"Offender, Offend, Juvenile, Criminal",fiqh,2.3530661468936156,0,7
9,"Offender, Offend, Juvenile, Criminal",celje,2.3530661468936156,0,7
9,"Offender, Offend, Juvenile, Criminal",hunter,2.3530661468936156,0,7
9,"Offender, Offend, Juvenile, Criminal",killer,-2.9224410928360074,6,0
9,"Offender, Offend, Juvenile, Criminal",specificity,-2.9224410928360074,6,0
9,"Offender, Offend, Juvenile, Criminal",pathways,-2.9224410928360074,6,0
9,"Offender, Offend, Juvenile, Criminal",africa,-2.9224410928360074,6,0
9,"Offender, Offend, Juvenile, Criminal",western,-2.9224410928360074,6,0
9,"Offender, Offend, Juvenile, Criminal",serial,-3.0657721390559667,7,0
9,"Offender, Offend, Juvenile, Criminal",crop,-3.0657721390559667,7,0
9,"Offender, Offend, Juvenile, Criminal",user,-3.0657721390559667,7,0
9,"Offender, Offend, Juvenile, Criminal",elderly,-3.0657721390559667,7,0
9,"Offender, Offend, Juvenile, Criminal",intergenerational,-3.0657721390559667,7,0
9,"Offender, Offend, Juvenile, Criminal",csv,-3.0657721390559667,7,0
9,"Offender, Offend, Juvenile, Criminal",dual,-3.1911655375946877,8,0
9,"Offender, Offend, Juvenile, Criminal",maternal,-3.3026214813194716,9,0
9,"Offender, Offend, Juvenile, Criminal",ci,-3.577749571288388,12,0
9,"Offender, Offend, Juvenile, Criminal",ric,-3.577749571288388,12,0
10,Epigenetics & DNA methylation,preterm,4.361519886345909,0,27
10,Epigenetics & DNA methylation,pubertal,3.7852686862691325,0,15
10,Epigenetics & DNA methylation,exercise,3.7183355907153803,0,14
10,Epigenetics & DNA methylation,diabetes,3.569432318703565,0,12
10,Epigenetics & DNA methylation,timing,3.569432318703565,0,12
10,Epigenetics & DNA methylation,de,3.485809163869619,0,11
10,Epigenetics & DNA methylation,black,3.485809163869619,0,11
10,Epigenetics & DNA methylation,skill,3.394595898099328,0,10
10,Epigenetics & DNA methylation,neonatal,3.294271010279947,0,9
10,Epigenetics & DNA methylation,mps-gc,3.294271010279947,0,9
10,Epigenetics & DNA methylation,oprl,3.1828040041813432,0,8
10,Epigenetics & DNA methylation,dmps,3.1828040041813432,0,8
10,Epigenetics & DNA methylation,mendelian,3.1828040041813432,0,8
10,Epigenetics & DNA methylation,reward,3.1828040041813432,0,8
10,Epigenetics & DNA methylation,cardiometabolic,3.0573995484848533,0,7
10,Epigenetics & DNA methylation,vitamin,-2.6985635037003295,10,0
10,Epigenetics & DNA methylation,testosterone,-2.6985635037003295,10,0
10,Epigenetics & DNA methylation,morc,-2.789705726767556,11,0
10,Epigenetics & DNA methylation,mouse,-2.789705726767556,11,0
10,Epigenetics & DNA methylation,face,-2.789705726767556,11,0
10,Epigenetics & DNA methylation,genotype,-2.8732578096245103,12,0
10,Epigenetics & DNA methylation,hippocampal,-2.8732578096245103,12,0
10,Epigenetics & DNA methylation,il,-2.8732578096245103,12,0
10,Epigenetics & DNA methylation,tph,-2.8732578096245103,12,0
10,Epigenetics & DNA methylation,attachment,-2.9503893537448542,13,0
10,Epigenetics & DNA methylation,el,-2.9503893537448542,13,0
10,Epigenetics & DNA methylation,oxytocin,-3.266323351647652,18,0
10,Epigenetics & DNA methylation,father,-3.3191377627235212,19,0
10,Epigenetics & DNA methylation,antidepressant,-3.3191377627235212,19,0
10,Epigenetics & DNA methylation,gr,-3.8007612495132443,31,0
11,"Cortisol, Hpa, Axis, Hpa Axis",sa,3.756677898443667,0,17
11,"Cortisol, Hpa, Axis, Hpa Axis",val,3.6976359479768606,0,16
11,"Cortisol, Hpa, Axis, Hpa Axis",tinnitus,3.1441583477303414,0,9
11,"Cortisol, Hpa, Axis, Hpa Axis",kitten,3.1441583477303414,0,9
11,"Cortisol, Hpa, Axis, Hpa Axis",episode,3.1441583477303414,0,9
11,"Cortisol, Hpa, Axis, Hpa Axis",small,3.032731586312118,0,8
11,"Cortisol, Hpa, Axis, Hpa Axis",friendship,3.032731586312118,0,8
11,"Cortisol, Hpa, Axis, Hpa Axis",ppd,3.032731586312118,0,8
11,"Cortisol, Hpa, Axis, Hpa Axis",bdnf,3.032731586312118,0,8
11,"Cortisol, Hpa, Axis, Hpa Axis",elt,2.9073673574937713,0,7
11,"Cortisol, Hpa, Axis, Hpa Axis",histone,2.9073673574937713,0,7
11,"Cortisol, Hpa, Axis, Hpa Axis",cort,2.9073673574937713,0,7
11,"Cortisol, Hpa, Axis, Hpa Axis",volume,2.7640654684161516,0,6
11,"Cortisol, Hpa, Axis, Hpa Axis",peripartum,2.7640654684161516,0,6
11,"Cortisol, Hpa, Axis, Hpa Axis",wm,2.7640654684161516,0,6
11,"Cortisol, Hpa, Axis, Hpa Axis",alcohol,-2.5112932975905844,7,0
11,"Cortisol, Hpa, Axis, Hpa Axis",hpaa,-2.6366213753956984,8,0
11,"Cortisol, Hpa, Axis, Hpa Axis",pi,-2.6366213753956984,8,0
11,"Cortisol, Hpa, Axis, Hpa Axis",ideation,-2.6366213753956984,8,0
11,"Cortisol, Hpa, Axis, Hpa Axis",avoidance,-2.6366213753956984,8,0
11,"Cortisol, Hpa, Axis, Hpa Axis",adrenal,-2.748011972565024,9,0
11,"Cortisol, Hpa, Axis, Hpa Axis",attitude,-2.748011972565024,9,0
11,"Cortisol, Hpa, Axis, Hpa Axis",internalize,-2.748011972565024,9,0
11,"Cortisol, Hpa, Axis, Hpa Axis",egg,-2.848260420398078,10,0
11,"Cortisol, Hpa, Axis, Hpa Axis",ad,-2.848260420398078,10,0
11,"Cortisol, Hpa, Axis, Hpa Axis",dysfunctional,-2.848260420398078,10,0
11,"Cortisol, Hpa, Axis, Hpa Axis",foa,-2.848260420398078,10,0
11,"Cortisol, Hpa, Axis, Hpa Axis",offspring,-2.8829488288837926,32,1
11,"Cortisol, Hpa, Axis, Hpa Axis",chr,-3.100069979898869,13,0
11,"Cortisol, Hpa, Axis, Hpa Axis",pituitary,-3.2385505421092624,15,0
14,Adverse childhood experiences (ACE),self-concept,2.7778713547042075,0,19
14,Adverse childhood experiences (ACE),temperament,2.6693303038310034,0,17
14,Adverse childhood experiences (ACE),correlation,2.610326110895608,0,16
14,Adverse childhood experiences (ACE),prosocial,2.610326110895608,0,16
14,Adverse childhood experiences (ACE),poly-adversity,2.547642087792796,0,15
14,Adverse childhood experiences (ACE),cm,2.547642087792796,0,15
14,Adverse childhood experiences (ACE),self-efficacy,2.547642087792796,0,15
14,Adverse childhood experiences (ACE),ibs,2.480787073954861,0,14
14,Adverse childhood experiences (ACE),pea,2.4091644974069064,0,13
14,Adverse childhood experiences (ACE),highlight,2.4091644974069064,0,13
14,Adverse childhood experiences (ACE),loneliness,2.3320398704696608,0,12
14,Adverse childhood experiences (ACE),program,2.24849470248543,0,11
14,Adverse childhood experiences (ACE),follow-up,2.24849470248543,0,11
14,Adverse childhood experiences (ACE),left-behind,2.24849470248543,0,11
14,Adverse childhood experiences (ACE),home,2.24849470248543,0,11
14,Adverse childhood experiences (ACE),maltreat,-3.288679454399965,5,0
14,Adverse childhood experiences (ACE),error,-3.288679454399965,5,0
14,Adverse childhood experiences (ACE),mentalization,-3.4561314698284304,6,0
