period,topic,count,period_total,share,display_name
P2_pandemic_transition,8,75,4806,0.015605493133583021,"Worker, Protection, Social Work, Social Worker"
P2_pandemic_transition,9,84,4806,0.017478152309612985,"Offender, Offend, Juvenile, Criminal"
P2_pandemic_transition,10,94,4806,0.019558884727424054,Epigenetics & DNA methylation
P2_pandemic_transition,11,90,4806,0.018726591760299626,"Cortisol, Hpa, Axis, Hpa Axis"
P2_pandemic_transition,13,52,4806,0.010819808572617561,"Cm, Mdd, History Cm, Relationship Cm"
P2_pandemic_transition,14,79,4806,0.01643778610070745,Adverse childhood experiences (ACE)
P2_pandemic_transition,15,70,4806,0.014565126924677487,"Hiv, Live Hiv, Adherence, Hiv Aid"
P2_pandemic_transition,16,71,4806,0.014773200166458594,"Drug, Opioid, Cannabis, Misuse"
P2_pandemic_transition,18,63,4806,0.013108614232209739,Psychosis & psychotic-like experiences
P2_pandemic_transition,20,80,4806,0.016645859342488557,"Church, Catholic, Clergy, Religious"
P2_pandemic_transition,21,61,4806,0.012692467748647523,Borderline personality disorder
P2_pandemic_transition,22,70,4806,0.014565126924677487,"Rape, Perpetrator, Assault, Myth"
P2_pandemic_transition,23,51,4806,0.010611735330836454,"Mdd, Major Depressive, Depressive Mdd, Gyrus"
P2_pandemic_transition,24,62,4806,0.012900540990428632,"Interviewer, Forensic Interview, Investigative, Forensic"
P2_pandemic_transition,25,54,4806,0.011235955056179775,"Pain, Chronic Pain, Pelvic, Pelvic Pain"
P2_pandemic_transition,26,60,4806,0.012484394506866416,"Eat, Ed, Eating, Binge Eat"
P2_pandemic_transition,27,56,4806,0.011652101539741989,"Sleep, Sleep Quality, Sleep Disturbance, Disturbance"
P2_pandemic_transition,28,60,4806,0.012484394506866416,"Connectivity, Functional, Functional Connectivity, Restingstate"
P2_pandemic_transition,29,57,4806,0.011860174781523096,"Bd, Bipolar, Mood, Bipolar Bd"
P2_pandemic_transition,30,49,4806,0.01019558884727424,"Emotion Regulation, Dysregulation, Emotion Dysregulation, Regulation Strategy"
P2_pandemic_transition,33,47,4806,0.009779442363712027,"Dissociation, Dissociative, Dissociative Experience, Identity"
P2_pandemic_transition,34,51,4806,0.010611735330836454,"Violence Exposure, Genderbased, Genderbased Violence, Exposure Violence"
P2_pandemic_transition,35,50,4806,0.010403662089055347,"Disability, Intellectual, Intellectual Disability, Id"
P2_pandemic_transition,36,37,4806,0.007698709945900957,Image-based sexual abuse
P2_pandemic_transition,37,41,4806,0.008531002913025386,"Parentchild, Parentchild Relationship, Parenting, Parentchild Interaction"
P2_pandemic_transition,38,41,4806,0.008531002913025386,"Sport, Athlete, Coach, Harassment"
P2_pandemic_transition,39,59,4806,0.01227632126508531,Maternal & infant mental health
P2_pandemic_transition,40,38,4806,0.007906783187682065,"Depression Anxiety, Anxiety Depression, Anxiety Depressive, Trait Anxiety"
