topic,display_name,share_P1,share_P4,absolute_change_P1_to_P4,relative_change_P1_to_P4,count_P1,count_P4,z_stat_P1_vs_P4,p_value_P1_vs_P4,kendall_tau,kendall_p,mk_trend,theil_sen_slope_per_year,share_P1_pre_pandemic,share_P2_pandemic_transition,share_P3_post_pandemic,share_P4_recent,p_adj_P1_vs_P4,prevalence_class
81,"Childbirth, Maternity, Mistreatment, Obstetric",0.006852925672113864,0.004751346214760849,-0.002101579457353015,-0.3066689408152823,13,15,0.9746397774030289,0.329738975236997,-0.06666666666666665,1.0,stable,-0.00015226676619081682,0.006852925672113864,0.005409904286308781,0.007056870070568701,0.004751346214760849,0.6937687505637637,stable
93,"Ocd, Obsessivecompulsive, Obsessive Compulsive, Obsessive",0.00790722192936215,0.004117833386126069,-0.0037893885432360814,-0.4792313377679231,15,13,1.757387184839054,0.0788518361592423,-0.14285714285714288,0.7726190476190476,stable,-0.00025796717002713517,0.00790722192936215,0.0035372451102788183,0.006434205064342051,0.004117833386126069,0.3516928613107469,stable
4,Intimate partner violence,0.021085925144965736,0.025340513145391194,0.004254588000425458,0.20177383592017736,40,80,-0.961957512086528,0.3360709469976735,-0.14285714285714288,0.7726190476190476,stable,-0.0001915405141211593,0.021085925144965736,0.022263836870578445,0.019925280199252802,0.025340513145391194,0.6937687505637637,stable
69,"Prevention Program, Schoolbased, Skill, Curriculum",0.007380073800738007,0.005384859043395629,-0.0019952147573423784,-0.2703515996198923,14,17,0.8796619108555037,0.3790424891352364,-0.14285714285714288,0.7726190476190476,stable,-0.0002112296416093883,0.007380073800738007,0.006034124011652101,0.0078870900788709,0.005384859043395629,0.7035052389168164,stable
16,"Drug, Opioid, Cannabis, Misuse",0.01845018450184502,0.012036743744060817,-0.006413440757784201,-0.3476084890719037,35,38,1.8503758927682186,0.06425939109542722,-0.23809523809523814,0.5619047619047619,stable,-0.000936200632222353,0.01845018450184502,0.014773200166458594,0.012453300124533,0.012036743744060817,0.3516928613107469,stable
20,"Church, Catholic, Clergy, Religious",0.01107011070110701,0.011086474501108648,1.6363800001637993e-05,0.0014781966001479654,21,35,-0.005381218154510266,0.9957064298380636,-0.23809523809523814,0.5619047619047619,stable,-0.0005404573932492711,0.01107011070110701,0.016645859342488557,0.012038190120381901,0.011086474501108648,0.9960281011969045,stable
27,"Sleep, Sleep Quality, Sleep Disturbance, Disturbance",0.009488666315234581,0.009819448843839089,0.00033078252860450734,0.034860803153486136,18,31,-0.11620667019466312,0.9074887505195495,-0.23809523809523814,0.5619047619047619,stable,-0.0004225999622783855,0.009488666315234581,0.011652101539741989,0.013491075134910751,0.009819448843839089,0.9749679220952436,stable
94,"Reward, Task, Neural, Processing",0.0010542962572482868,0.0028508077288565093,0.0017965114716082225,1.703991130820399,2,9,-1.3270208400800705,0.18450178896243496,-0.23809523809523814,0.5619047619047619,stable,-0.0007320032216297781,0.0010542962572482868,0.0070744902205576365,0.0062266500622665,0.0028508077288565093,0.5278615340284502,stable
90,"Gut, Microbiome, Ibs, Axis",0.004744333157617291,0.005384859043395629,0.0006405258857783381,0.13500862281350082,9,17,-0.3082059029991738,0.7579256610181029,-0.23809523809523814,0.5619047619047619,stable,-0.0002715928318720196,0.004744333157617291,0.006034124011652101,0.005396430053964301,0.005384859043395629,0.8982822649103442,stable
80,College students & campus prevention,0.00790722192936215,0.0066518847006651885,-0.001255337228696962,-0.1587583148558758,15,21,0.513845319398411,0.6073601399746487,-0.23809523809523814,0.5619047619047619,stable,-0.00034104829429451735,0.00790722192936215,0.006450270495214316,0.0045662100456621,0.0066518847006651885,0.800470203070064,stable
